Name,Email,Phone Number,Combined Address,Address, City, State,Zip,Website,GPS Coordinates,Par / Yards,Price Range /season,Twitter,Facebook
Bayside,info@baysidegolf.com,308.287.4653,"865 Lakeview West Rd, Lake McConaughy ",865 Lakeview West Rd, Lake McConaughy ,,69127,http://baysidegolf.com,,,,@GolfJodi,https://www.facebook.com/pages/Bayside-Golf/81769003690
Bayside Resort (GC),bcrowther@troongolf.com,(302) 436-3400,"11310 Signature Blvd, Selbyville, DE",11310 Signature Blvd, Selbyville, DE,19975,http://www.golfbayside.com,,,,@LiveBayside,https://www.facebook.com/baysidegolf?ref=br_tf
Baywood Greens,"*no email listed, contact form",(302) 947-9800,"32267 Clubhouse Way, Long Neck, DE",32267 Clubhouse Way, Long Neck, DE,19966,http://www.baywoodgreens.com,,,,@Baywood_Greens,https://www.facebook.com/Baywoodgreens
Bear Mountain Ranch GC,info@bearmt.com,(509) 682-8200,"1050 Bear Mountain Ranch Rd, Chelan, WAÂ ",1050 Bear Mountain Ranch Rd, Chelan, WAÂ ,98816,http://www.bearmt.com/index.html,,,,not listed on site,https://www.facebook.com/pages/Bear-Mountain-Ranch-Golf-Course/164841898423
Bear Trace (Cumberland Mountain),tn.golftrail@tn.gov,(931) 707-1640,"407 Wild Plum Ln, Crossville, TN ",407 Wild Plum Ln, Crossville, TN ,38572,http://www.tngolftrail.net,,,,@BearTraceHB,https://www.facebook.com/pages/The-Bear-Trace-Harrison-Bay/108872222469525
Bear's Best,"*no email listed, contact form",702.804.8500,"11111 W Flamingo Rd, Las Vegas, NV",11111 W Flamingo Rd, Las Vegas, NV,89135,http://www.clubcorp.com/Clubs/Bear-s-Best-Las-Vegas,,,,,https://www.facebook.com/bearsbestlasvegas
Bedford Springs,rleporati@omnihotels.com,(814) 623-8100,Bedford,,Bedford,,15522,http://www.omnihotels.com/FindAHotel/BedfordSprings/Golf.aspx,,,,@OmniHotels,https://www.facebook.com/omnihotels
Bel-Air CC,,(310) 472-9563,"10768 Bellagio Rd, Los Angeles, CA",10768 Bellagio Rd, Los Angeles, CA,90077,http://www.bel-aircc.org,,,,,
Belgrade Lakes GC,"*no email listed, contact form",(207) 495-4653,Belgrade Lakes,,Belgrade Lakes,ME,04918,https://www.belgradelakesgolf.com,,,,,
Bell Nob GC,"(Ricky Thielen, Recreation Desk Assistant) rat77@ccgov.net",(307) 685-3077,"4600 Overdale Dr, Gillette, WY",4600 Overdale Dr, Gillette, WY,82718,http://www.ccprd.com/Bell_Nob_Golf_Course.html,,,,no account,https://www.facebook.com/bellnobgolfclub
Bellerive GC,,(314) 434-4400,"12925 Ladue Rd, St Louis, MO",12925 Ladue Rd, St Louis, MO,63141,http://www.bellerivecc.org/,,Need to call,Members only,,
Belterra GC,*no email listed,(812) 427-7777,"777 Belterra Dr, Florence, IN",777 Belterra Dr, Florence, IN,47020,https://www.belterracasino.com/amenities/golf-course-and-clubhouse/,,,,Twitter link takes you to home page,https://www.facebook.com/BelterraCasinoResort
Belvedere GC,proshop@belvedereclub.net,231-547-2611,Charlevoix,,Charlevoix,,49720,http://www.belvederegolfclub.com,,,,,
Berkleigh GC,proshop@berkleighgolfclub.com,(610) 683-7368,"14623 Kutztown Rd, Kutztown, PA ",14623 Kutztown Rd, Kutztown, PA ,19530.1,http://www.berkleighgolfclub.com,,,,no account,https://www.facebook.com/pages/Berkleigh-Golf-Club/336178536518
Bethpage State Park (Black),call,(516) 249-0700,"99 Quaker Meetinghouse Road, Farmingdale, NY",99 Quaker Meetinghouse Road, Farmingdale, NY,11735,http://nysparks.com/golf-courses/11/details.aspx,,,,not listed on site,not listed on site
Bethpage State Park (Red),call,(516) 249-0700,"99 Quaker Meetinghouse Road, Farmingdale, NY",99 Quaker Meetinghouse Road, Farmingdale, NY,,http://nysparks.com/golf-courses/11/details.aspx,,,,not listed on site,not listed on site
Beverly CC,,,"Chicago, IL",,Chicago, IL,,http://www.beverlycc.org,,,,,
Big Creek GCC,membership@bigcreekgolf.com,(870) 425-0333,Mountain Home,,Mountain Home,,72653,http://www.bigcreekgolf.com,,,,not listed on site,https://www.facebook.com/bigcreekgolf
Biltmore Forest CC,,(828) 274-1261,"31 Stuyvesant Rd, Asheville, NC ",31 Stuyvesant Rd, Asheville, NC ,28803,http://www.biltmoreforestcc.com,,,,,
Birck Boilermaker Golf Complex (Kampen),bbgc@purdue.edu,765.494.3139,West Lafayette,,West Lafayette,,,http://www.purduegolf.com,,,,@PurdueGolf,https://www.facebook.com/purduegolfcourse
Black Bear GC,?,(318) 878-2162,"253 Black bear Dr, Delhi, LA",253 Black bear Dr, Delhi, LA,71232,?,,,,@golfblackbear,https://www.facebook.com/pages/Black-Bear-Golf-Club/171550312896173
Black Butte Ranch (Big Meadow),"(Katie Daiger, Media Contact) kdaiger@blackbutteranch.com",(866) 901-2961,Black Butte Ranch,,Black Butte Ranch,,97759,http://www.blackbutteranch.com/golf/big-meadow/,,,,@BlackButteRanch,https://www.facebook.com/BlackButteRanch
Black Diamond Ranch (Quarry),,,"Lecanto, FL",,Lecanto, FL,,,,,,,
Black Forest at Wilderness Valley,info@blackforestgolf.com,(231) 585-7090,"6500 Nicklaus Dr, Gaylord, MI ",6500 Nicklaus Dr, Gaylord, MI ,49735,http://blackforestgolf.com,,,,,https://www.facebook.com/pages/Black-Forest-Wilderness-Valley-Golf-Resort/158826854150962
Black Jack's Crossing,contact@lajitasgolfresort.com,(432) 424-5080,"        HC70 Clay Henry Blvd, Lajitas, TX",        HC70 Clay Henry Blvd, Lajitas, TX,79852,"
http://www.lajitasgolfresort.com/golf.html",,,,no account,https://www.facebook.com/pages/Black-Jacks-Crossing-Golf-Club/105674679513512
Black Lake,golfblacklake@yahoo.com,(989) 733-4653,"2800 Maxon Rd, Onaway, MI ",2800 Maxon Rd, Onaway, MI ,49765,"
http://www.blacklakegolf.com",,,,,https://www.facebook.com/pages/Black-Lake-Golf-Club-Grille/281205695266355
Black Mesa,info@blackmesagolfclub.com,(505) 747-8946,"115 State Road 399, EspaÃ±ola, NM",115 State Road 399, EspaÃ±ola, NM,87532,http://www.blackmesagolfclub.com,,,,@BlackMesaGC,https://www.facebook.com/BlackMesaGolfClub
Black Rock,,(208) 676-8999,"18168 S Kimberlite Dr, Coeur d'Alene, ID ",18168 S Kimberlite Dr, Coeur d'Alene, ID ,83814,https://www.blackrockidaho.com,,,,,
Black Sheep GC,*no email listed,(630) 879-2000,"2S610 Seavy Rd, Sugar Grove, IL ",2S610 Seavy Rd, Sugar Grove, IL ,60554,http://www.blacksheepgolfclub.com,,,,no account,no acutal page
Blackstone National,,(508) 865-2111,"227 Putnam Hill Rd, Sutton, MA",227 Putnam Hill Rd, Sutton, MA,01590,http://www.bngc.net,,,,@BlackstoneGolf,https://www.facebook.com/blackstonenationalgolfclub
Blackwolf Run (Meadow Valleys),no email listed,(920) 457-4446,"1111 W Riverside Dr, Kohler, WI",1111 W Riverside Dr, Kohler, WI,53044,http://www.americanclubresort.com/golf/bwr/bwr_index.html,,,,@TheAmericanClub,https://www.facebook.com/americanclub
Blackwolf Run (River),"(Leslie Stachowiak, Media Director)  leslie.stachowiak@kohler.com",(920) 457-4446,"1111 W Riverside Dr, Kohler, WI ",1111 W Riverside Dr, Kohler, WI ,53044,http://www.americanclubresort.com/golf/bwr/bwr_index.html,,,,@TheAmericanClub,https://www.facebook.com/americanclub
Blessings GC,,,"Johnson, AR",,Johnson, AR,,,,,,,
Blue Mound CC,no email listed,(414) 258-4656,"10122 W North Ave, Wauwatosa, WI",10122 W North Ave, Wauwatosa, WI,53226,http://www.bluemoundgcc.com,,"Par - ? // 6,672 yards",,,
Blue Top Ridge,info@riversidecasinoandresort.com,(319) 648-1234,"3184 Iowa 22, Riverside, IA ",3184 Iowa 22, Riverside, IA ,52327,http://www.bluetopridge.com,,,,no account,https://www.facebook.com/BlueTopRidge
Boot Ranch GC,*no email listed; contact form available,(830) 997-6200,"77 Boot Ranch Cir, Fredericksburg, TX",77 Boot Ranch Cir, Fredericksburg, TX,78624,http://www.bootranch.com,,,,@BootRanch,https://www.facebook.com/BootRanch
Boston Golf Club,,(781) 741-5123,"19 Old County Rd, Hingham, MA",19 Old County Rd, Hingham, MA,02043,http://www.bostongolfclub.org,,,,,
Boulder Creek,info@bouldercreekgc.com,(702) 294-6534,"1501 Veterans Memorial Dr, Boulder City, NV ",1501 Veterans Memorial Dr, Boulder City, NV ,89005,http://www.bouldercreekgc.com/-home,,,,@BoulderCreekGC,
Boulder Creek,andrea.salemi@gmail.com,330-626-2828,"9700 Page Rd, Streetsboro, OH",9700 Page Rd, Streetsboro, OH,44241,"
http://www.bouldercreekohio.com",,"Par 72, 7462 yards",$35-$64,@BoulderCreekOH,https://www.facebook.com/BoulderCreekGC
Boulders Resort (North),"
The_Boulders_Resort@waldorfastoria.com","
480-488-9009","34631 N Tom Darlington Dr, Carefree, AZ",34631 N Tom Darlington Dr, Carefree, AZ,85377,"
http://waldorfastoria3.hilton.com/en/hotels/arizona/the-boulders-a-waldorf-astoria-resort-PHXRSWA/index.html",,,,@BouldersResort,https://www.facebook.com/TheBoulders
Boulders Resort (South),The_Boulders_Resort@waldorfastoria.com,480-488-9009,"34631 N Tom Darlington Dr, Carefree, AZ",34631 N Tom Darlington Dr, Carefree, AZ,85377,http://waldorfastoria3.hilton.com/en/hotels/arizona/the-boulders-a-waldorf-astoria-resort-PHXRSWA/index.html,,,,@BouldersResort,https://www.facebook.com/TheBoulders
Bowes Creek,duffy_k@cityofelgin.org,(847) 468-1852,"3511 Tournament Dr, Elgin, IL",3511 Tournament Dr, Elgin, IL,60124,http://www.bowescreekcountryclub.com,,,,@Bowes_Creek_CC,https://www.facebook.com/BowesCreekCountryClub
Boyne Highlands Resort (Hills),"*no email listed, contact form",231.526.3000,"600 Boyne Highlands Dr, Harbor Springs, MI",600 Boyne Highlands Dr, Harbor Springs, MI,49740,https://www.boyne.com/boynehighlands,,,,@Boyne_Highlands,https://www.facebook.com/BoyneHighlands
Brackenridge Park,"*no email listed, contact form",(210) 226-5612,"3700 N St Mary's St, San Antonio, TX",3700 N St Mary's St, San Antonio, TX,78215,http://www.alamocitygolftrail.com/index.php/san-antonio-golf-courses/brackenridge-park,,,,not listed on site,not listed on site
Brae Burn CC,amberpursel@braeburngolf.com,617-244-0680,"326 Fuller Street, West Newton, MA",326 Fuller Street, West Newton, MA,00246,http://www.braeburngolf.com/,,?,?,no account,no actual page
Breakfast HIll,golf@breakfasthill.com,(603) 436-5001,"339 Breakfast Hill Rd, Greenland, NH",339 Breakfast Hill Rd, Greenland, NH,00384,http://breakfasthill.com,,,,@BreakfastHill,
Brickyard Crossing,*no email listed,(317) 492-6417,"4400 W 16th St, Indianapolis, IN",4400 W 16th St, Indianapolis, IN,46222,http://www.brickyardcrossing.com/Home.aspx,,,,no account,https://www.facebook.com/pages/Brickyard-Crossing-Golf-Course-the-Indianapolis-Motor-Speedway/10150098969855311
Briggs Ranch,,(210) 357-4200,"2818 Rustlers Trail, San Antonio, TX ",2818 Rustlers Trail, San Antonio, TX ,78245,http://www.briggsranchrealty.com,,,,,
Bright's Creek GC,no email listed; contact form available,(828) 694-4500,"2222 Palmer Rd, Mill Spring, NC ",2222 Palmer Rd, Mill Spring, NC ,28756,http://www.brightscreek.com,,,,@Brights_Creek,https://www.facebook.com/BrightsCreekClub
Brook Hollow GC,*no email listed,(214) 637-1900,"8301 Harry Hines Blvd, Dallas, TX",8301 Harry Hines Blvd, Dallas, TX,75235,http://www.brookhollowgc.org,,,,no account,https://www.facebook.com/BrookHollowGolfClub
Brooks GC,info@brooksgolfclub.com,712-332-5011,Okojobi,,Okojobi,,51355,http://www.brooksgolfclub.com,,,,@BrooksGC,https://www.facebook.com/pages/Brooks-Golf-Club/450261025061
Brookside CC,no email listed; contact form available,330.477.6505,"1800 Canton Avenue NW, Canton, OH",1800 Canton Avenue NW, Canton,OH,44708,http://www.brooksidecc.com,,,,@BrooksideGolfCC,no actual page
Buffalo Dunes,"(Cole Wasinger, Head Golf Professional) cole.wasinger@gardencityks.us (and contact form available)",(620) 276-1210,"5685 S US Hwy 83, Garden City, KS ",5685 S US Hwy 83, Garden City,KS,67846,http://www.buffalodunes.org,,,,@BuffaloDunes,https://www.facebook.com/pages/Buffalo-Dunes-Golf-Course/118228455279?ref=br_tf
Buffalo Ridge (Spring),,,Branson,,,,,,,,,,
Bulle Rock GC,Golf@BulleRock.com,(410) 939-8887,"320 Blenheim Ln, Havre de Grace, MD",320 Blenheim Ln, Havre de Grace,MD,21078,http://www.bullerockgolf.com,,,,@BulleRockGolf,https://www.facebook.com/BulleRockGolf
Bully Pulpit,bullypulpit@medora.com,701-623-4653,Medora,,Medora,,58645,http://www.medora.com/do/outdoor/bully-pulpit-golf-course/,,,,@MedoraND,https://www.facebook.com/MedoraND
Butler National GC,office@butlernational.org,(630) 990-3333,"2616 York Rd, Oak Brook, IL",2616 York Rd, Oak Brook,IL,60523,https://butlernationalgolf.memberstatements.com/,,,,no account,no acutal page
Butterfield CC,,(630) 323-1000,"2800 Midwest Rd, Oak Brook, IL",2800 Midwest Rd, Oak Brook,IL,60523,http://www.butterfieldcc.org,,,,no account,no page found
Butterfield Trail,info@butterfieldtrailgolf.com,(915) 772-1031,"1858 Cottonwoods, El Paso, TX",1858 Cottonwoods, El Paso,TX,79906,http://www.butterfieldtrailgolf.com/-home,,,,@BTGC,https://www.facebook.com/Butterfieldtrail
"Caledonia Golf, Fish Club",truebluegolf@sccoast.net,(843) 235-0900,"369 Caledonia Drive, Pawleys Island, SC",369 Caledonia Drive, Pawleys Island,SC,29585,http://www.fishclub.com,,,,not listed on site,not listed on site
California GC,,,"South San Fran, CA",,South San Fran,CA,,,,,,,
Calusa Pines Golf Club,*no email listed,(239) 348-7241,"2000 Calusa Pines Dr, Naples, FL",2000 Calusa Pines Dr, Naples,FL,34120,www.calusapinesgolfclub.com/,,,,,
Camargo Club,no email listed; website only for members,(513) 561-7213,"8605 Shawnee Run Rd, Cincinnati, OH ",8605 Shawnee Run Rd, Cincinnati,OH,45243,camargoclub.org/,,,,no account,no page found
Camp Creek,*no email listed,(850) 231-7600,WaterSound,,WaterSound,,32413,http://www.campcreekgolfclub.com/index.php,,,,@campcreekgc,https://www.facebook.com/pages/Camp-Creek-Golf-Club/101671653213864
Canterbury GC,no email listed,(216) 561-1000,"22000 S Woodland Rd, Cleveland, OH ",22000 S Woodland Rd, Cleveland,OH,44122,http://www.canterburygc.org,,,,@cburygolf,no page found
Cantigny,"(Mike Nass, Executive Director) mnass@cantigny.org",(630) 668-3323,"27W270 Mack Rd, Wheaton, IL",27W270 Mack Rd, Wheaton,IL,60189,http://www.cantignygolf.com,,,,@CantignyGolf,https://www.facebook.com/pages/Cantigny-Golf-and-Cantigny-Golf-Academy/203143484888
Canyon River,"*no email listed, contact form",(406) 721-0222,"1268 Bandmann Trail, Missoula, Mt",1268 Bandmann Trail, Missoula,MT,59801,http://canyonriverproperty.com,,,,,https://www.facebook.com/CanyonRiverGolfClub
Cape Cod National,*no email listed,(508) 240-6800,"174 S Orleans Rd, Brewster, MA",174 S Orleans Rd, Brewster,MA,02631,http://www.ccngolf.org,,,,no account,https://www.facebook.com/CapeCodNationalGolfClubLlc
Cape Fear CC,cfcc@capefearcountryclub.net,(910) 762-4751,"1518 Country Club Rd, Wilmington, NC",1518 Country Club Rd, Wilmington,NC,28403,https://www.capefearcountryclub.net,,,,@CFNgolf,https://www.facebook.com/CapeFearNational
Cape Fear National GC,info@capefearnational.com,(910) 383-3283,"1281 Cape Fear National Dr, Leland, NC",1281 Cape Fear National Dr, Leland,NC,28451,http://www.capefearnational.com,,,,not listed on site,https://www.facebook.com/CapeFearNational
Capitol Hill (Judge),CapitolHill@RTJGolf.com,334-285-1114,"2600 Constitution Ave, Prattville, AL",2600 Constitution Ave, Prattville,AL,36066,https://www.rtjgolf.com/capitolhill/,,,starts at $65,@RTJGolf,https://www.facebook.com/rossbridgeresort
Carolina GC,,,"Charlotte, NC",,Charlotte, NC,,,,,,,
Carter Plantation,"(Bill Caldwell, Director of Golf) bcaldwell@carterplantation.com",(225) 294-7555,"23475 Carter Cemetery Rd, Springfield, LA",23475 Carter Cemetery Rd, Springfield, LA,70462,http://www.carterplantation.com/course/,,,,no account,https://www.facebook.com/CarterPlantation
Cascata,cascatagolf@caesars.com,(702) 294-2005,"1 Cascata Dr, Boulder City, NV ",1 Cascata Dr, Boulder City, NV ,89005,http://www2.cybergolf.com/sites/courses/layout9.asp?id=1050&page=61755,,,,@CascataGolf,https://www.facebook.com/CascataGolfClub
Castle Pines GC,"(George Kahrhoff, head golf professional) gkahrhoff@ccofcastlepines.com",(303) 688-6000,"1000 Hummingbird Dr, Castle Rock, CO",1000 Hummingbird Dr, Castle Rock, CO,80108,http://www.ccatcastlepines.com/Club/Scripts/Home/home.asp,,,,no account,no actual page
CC of Buffalo,ccbinfo@ccofbuffalo.org,(716) 632-1100,"250 Youngs Rd, Buffalo, NY",250 Youngs Rd, Buffalo, NY,14221,https://www.ccofbuffalo.org,,,,no account,https://www.facebook.com/pages/Country-Club-of-Buffalo-Golf-Shop/206732242690094
CC of New Hampshire,*no email listed,(603) 927-4246,"178 Kearsarge Valley Rd, North Sutton, NH",178 Kearsarge Valley Rd, North Sutton, NH,03260,http://www.playgolfne.com/ccnh_home/,,,,,
CC of Scranton,info@ccscranton.com,(570) 586-2311,"1001 Morgan Highway Clarks Summit, PA",1001 Morgan Highway ,Clarks Summit, PA,18411,http://www.ccscranton.com,,,,no account,no page found
CC of South Carolina,"(Fred Burnett, General Manager) fburnett@countryclubsc.com",843-669-0920,"        3525 McDonald Blvd, Florence, SC ",        3525 McDonald Blvd, Florence, SC ,29506,http://www.countryclubsc.com,,,,@CountryClubofSC,https://www.facebook.com/TheCountryClubOfSouthCarolina
Century CC,centurymail@centurycc.org,(914) 761-0400,"233 Anderson Hill Rd, Purchase, NY",233 Anderson Hill Rd, Purchase, NY,10577,https://www.centurycc.org,,,,no account,no actual page
